text,label
intuitivní nastavení,1
velmi solidní zvuk,1
nenašel jsem,0
Cena v akci,1
Možnosti připojení,1
v balení HDMI kabel,1
"ovladač je nic moc, ale možná subjektivní názor",0
Jednoduché připojení a ovládání.Skvělý zvuk.,1
Equalizer nastaveni zvuku,1
Aplikace,1
Desing,1
zvukově dobrý,1
Při větší hlasitosti hudbě basy nestihaji,0
Vyšší výkon  a nižší cena,1
"Nelze pustit samostatně,  vždy  se spouští spolu s TV , přestože chcete pustit jen Spotify z telefonu.  Nelze mít pusteny jen soundbar",0
Cena,1
Zpracování,1
za danou cenu asi nejlepší soundbar,1
elegantní a minimalisticky vzhled,1
možnost připojení z více zdroji hdmi BT optický kabel,1
jednoduché ovládání hlasitosti přez tv ovladač ( pořízeno k TLC tv ),1
super zvuk i design,1
za ty peníze hraje slušně,1
Zvuk,1
Žádné,0
hrozný zvuk,0
Velikost a váha.,1
Zbytečně zdlouhavé ůvodní nastavování.,0
Špatný zvuk bez subwooferu.,0
jednoduché ovádání a instalace,1
naprosto nevyhovující zvuk,0
"Jednoduchá instalace přes HDMI, dobrý zvuk oproti TV.",1
Koupeno s TV a po nastavení všech funkcí kvalitní zvuk,1
Při zapojení HDMI funguje s TV zcela automaticky,1
Jeden ovladač na vše,1
Pěkný design,1
Prozatím vše funguje jak má,0
"Po přidání hlasitosti (audio jack 3,5 mm) začíná být slyšet statický šum, dělá to samotný reproduktor",0
"Po ukončení hraní se po 3–4 vteřinách reproduktor ""vypíná"" a další zvuk má vždy zpoždění, pak už hraje dobře.",0
Tlačítka na ovládání reproduktoru jsou velmi špatně provedena.,0
Po vypnutí do stand-by (např. dálkovým ovladačem) a opětovném zapnutí si nepamatuje nastavenou hlasitost.,0
rychlé dodání,1
solidní zpracování soundbaru,1
dostatečná šířka pro vyhovující stereofonní poslech,1
naprosto vyhovující seznam vstupů signálu,1
na dvou kategorii výborný zvukový přednes,1
"funkční zvukové režimy (hudba, film,..., zvýrazněn dialogy,...",1
"na TV není vidět stav hlasitosti, nutno otevřít aplikaci v telefonu",0
Zvuková kvalita výrazně lepší než u integrovaných reproduktorů televizoru,1
Jednoduché propojení,1
"Režimy pro filmy, hudbu, hry nebo sport",1
Cena,1
Slabé basy,0
Omezené prostorové efekty,0
Další ovladač,0
price,1
quality,1
volume and sound quality,1
size (quite bulky),0
"when working with a laptop via Bluetooth, if it is not used for some time (30 minutes - 1 hour) it simply turns off",0
there is no backlight on the touch buttons on the soundbar itself,0
Pěkný zvuk,1
Aplikace na telefon,1
Náznak prostorového zvuku,1
Zvláštní nastavování hlasitosti - přeskakuje o vysoké hodnoty,0
Některá nastavení nepřehledná,0
Po aktualizaci firmwaru vše ok,1
Dobrý poměr cena / výkon,1
Rozdíl oproti i celkem dobrým repro v TV je opravdu velký,1
Nutné ihned aktualizovat firmware,0
"zpoždění, nekvalitní zvuk",0
Velikost,1
Propojení,1
Dobrý zvuk,1
Cena,1
Zpožděný zvuk,0
Velké skoky v hlasitosti bez ovladače,0
Slušný zvuk,1
Jednoduché připojení a nastavení,1
Design,1
Nic,0
"vzhled, rozmery a cena",1
moznosti pripojeni predevsim eARC,1
aplikace a caste updaty,1
mene basu,0
Dobrý zvuk,1
Dobrá cena,1
Rozměry,1
Nic,0
Opravdu zlepší dojem z filmu oproti repro v TV,1
"Plně kompatibilní i s tv LG, pokud je připojen přes eARC. Zapíná se a vypíná spolu s televizí, hlasitost se také ovládá ovladačem na TV",1
V balení i hmoždinky pro montáž na zeď,1
"Po aktualizaci umožňuje i vypnout otravné zvukové hlášení, tedy vývojáři reagují na zákazníky",1
"Pokud si vypnete otravné hlášení, nemáte jak poznat, který mód (film, hudba, hra,...) máte aktuálně zvolený, pouze v aplikaci.",0
"Ovladač v mobilní aplikaci funguje současně pouze na jednom mobilu. Pokud aplikaci nezavřete, druhý mobil se nepřipojí.",0
"Sound bar má skvělý, čistý zvuk",1
Využívám hodně jako bluethooth reproduktor,1
"Při zapnutí televize jede přes HDMI ARC, takže se hned sám přepne na TV",1
Dají se s tím docela fajn škádlit sousedi,1
Zatím jsem na žádné nenarazil,0
za tu cenu funguje dobre,1
"když to mam připojené na TV, neukazuje mi na jakou hlasitost to mám nastavené. kdyz zvýším nebo snížím hlasitost tak mi ukáže plus nebo minus",0
Pro běžného smrtelníka příjemný zvuk,1
Basů dostatek - příznivcům drnčícího nábytku a nadskakujících hrnků bych ale doporučil něco s subwooferem,1
"Spousta připojovacích konektorů, usb, bluetooth",1
Aplikace výrobce pro mobil,1
Při HDMI bezproblémové ovládání hlasitosti ovladačem od tv,1
Dostatečný výkon - někde na čtvrtině už je hlasitosti pro obývák až až.,1
"Jen hnidopyšská drobnost - nemá vypínač, aby neběžel v standby. Vyřešeno za pár korun vypínačem na napájecím kabelu.",0
"Při ovládání v běžném přehrávači mobilu popř v tv nepřipojené přes hdmi jsou relativně velké skoky v úrovních nastavení hlasitosti. Pokud chcete jemnější kroky, řešením je použití připojení přes zmíněné hdmi k tv(ovládáno ovladačem tv), v mobilu aplikace výrobce popř doladit lze i dálkovým ovladačem k soundbaru. Je to tedy řešitelné.",0
V dané cenové hladivě velmi dobrý zvuk,1
Decentní vzhled bez rušivých diod,1
"Hlasová odezva na pokyny je velmi nepříjemná, naštěstí ji však lze vypnout (podržením tlačítka voice 5s)",0
kratší přívodní kabel,0
v dané cenové relaci nadprůměrný zvuk,1
povedený dálkové ovladač,1
možnost aktualizovat firmware pohodlně přes bluetooth skrz aplikaci,1
pro mě vzhled (ale to věcí osobních preferencí),1
chybí mi HDMI kabel v balení,0
velmi jednoduché zapojení,1
"ovládání přes dálkové ovládání, mobilní appky i přímo soundbaru",1
za ty peníze slušný zvuk,1
na hudbu by to přecejen chtělo něco trochu lepšího,0
za tu cenu nekonkurenční,1
velice příjemný ovladač,1
po chvilce nastavení skvělý zvuk,1
fajn basy (při nastavení na max),1
"displej zeshora, ale mně to osobně nevadí",0
Kvalitní zvuk i do větší místnosti,1
Jednoduché připojení a ovládání,1
Ocenila bych HDMI kabel v balení,0
Levný,1
Zvuk,0
Otravné oznámení při zapnutí a změnách nastavení,0
"Někdy začne z ničeho nic mluvit, i když je televize vypnutá",0
dobrý zvuk,1
snadná instalace,1
připojeno přes optický vstup a BT,1
"nijak nesignalizuje, že je zapnutý nebo vypnutý",0
"rychlá konektivita ,ucházející zvuk intuitivní ovládání, na menší místnost skvělé, eArc 👍, USB, optika, Jack",1
hlasitost,1
ovladanie cez appku funguje spolahlivo,1
Jednoduchý setup,1
Překvapivě silný výkon,1
"Žádný kabel k připojení zařízení. Pokud žádný nemáte, bude vám fungovat pouze bluetooth",0
"výborný zvuk - velmi dobře čitelné výšky a středy, decentní basy bez dunění",1
jednotlivé zvukové režimy jsou dobře odladěné a použitelné,1
"někteří recenzenti si stěžují na hlasovou odezvu při ovládání, která prý nejde vypnout. Ona ale vypnout JDE ... Co však nejde (nebo jsem na to ještě nepřišel) , to je regulace její hlasitosti, takže buďto je aktivovaná a poměrně hlasitá, nebo je vypnutá ...",0
"malinké mínus za umístění LED indikace na horní straně soudbaru, takže při normálním sledování televize není na ledky nastavení vidět",0
Perfektne nahradi zvuk z televize,1
Vcelku dobre bassy i bez subwooferu,1
Za ty penize neni co resit,1
Nekolik zvukovych rezimu- kazdy si vybere to co mu nejvice vyhovuje,1
Svetelna lista krasne nahradi displej,1
Pripojeno mam pres opticky kabel- super,1
Zkousel jsem i BT - super,1
V teto cenove kategorii jsem nenasel,0
Cena s AlzaPlus Aplikací kolem 3400 Kč + 500 kč sleva za recenzi to dělá hodně levný soubar,1
"Chtěl jsem zkusit připojit HDMI kabel k PC, přes HDMI konevrter - ten ještě nedošel - abych vyzkoušel dolby digital, zatím nemám, tak když tak přidam dodatečně.",1
Zvuk průměrný,1
Dálkový ovladač,1
kvalita zpracování,1
Obsah balení - pouze soundbar a napájecí kabel,0
Nepříjemný hlas při měnění módů,0
dobrý zvuk,1
pěkný design,1
za dobrou cenu slušná kvalita,1
problémy s různými aplikacemi ve smart TV Sony,0
"občas se sám od sebe ozve v průběhu dne, i když je TV vypnutá",0
Zvuk,1
Design,1
Rychle připraveno na prodejně,1
Pomer kvalita cena super,1
"eARC, ovladani ovladacem na tv",1
Rychla instalace,1
pomer vema/výkon,1
"negatívum nie je soundbar samotný ale zavádzanie alzy, tento soundbar funkciu Tutti Choral nepodporuje",0
Funguje ako má.,1
Funguje,1
Design,1
Žiadne basy/hĺbky.,0
Výkon veľmi dobrý na dvojkanálový soundbar,1
pomerne kvalitný zvuk,1
prijateľná cena,1
pridané úchyty na montáž na stenu,1
"škoda, že Alza neupozorňuje na kúpu Toslinku - optického pripojenia, upozorňuje iba na HDMI.",0
rušivé potvrdzovanie z boxu pri akejkoľvek manipulácii s diaľkovým ovládaním - hlasno komentuje volenú akciu,0
Ovladanie cez appku a pribaleny ovladac,1
Rychle nastavenie zvuku,1
Dostatocny vyber zvukovych profilov,1
Super cena/vykon,1
Vela vstupov (inputs) pre zapojenie,1
Trocha otravny voice over pri zmenach profilov.,0
dizaj,1
ovládanie cez TCL home,1
AI sonic adaption,1
nie príliš podarené rozšírenie zvuku z TV TCL cez Tutti Choral,0
"veľmi plochý zvuk, interné reproduktory v drahších modeloch TV TCL určite znejú lepšie ako tento lacný soundbar",0
Pekný zvuk na tú cenu,1
Pomerne slušné basy,1
Za tú cenu dobrá voľba,1
Je potrebné sa dosť povenovať nastaveniu soundbaru a tv aby to hralo pekne ubrať výšky pridať basy,0
super zvuk,1
mne sa páči dizajn,1
zvuk,0
ovládanie tiež nieje OK,0
Výborný zvuk.,1
Lahky,1
Kvalitne spracovany,1
"len dve diery vzadu na zahacknutie, ziadne skrutky",0
Rychle pripojenie cez bluetooth,1
Celkom dobra kvalita zvuku,1
"Informacie o nastaveni zvuku prostrednictvom LED indikacie umiestneneho na vrchu, ktora nerusi sledovanie TV.",1
"Casto sa stava, ze dojde k tomu, ze zvuk je opozdeny oproti obrazu, alebo naopak. To sice viem cez nastavenie bluetooth LIP synchronizacie na TV nastavit, ale v priebehu sledovania relacie to je potrebne nastavit niekolko krat, co je dost otravne.",0
"Soundbar poskytuje jasný a kvalitnejší zvuk, v porovnaní so zvukom z televíznych reproduktorov. To bol hlavný dôvod kúpy.",1
Umožňuje bezdrôtové prehrávanie hudby cez Bluetooth a podporuje HDMI eARC,1
Moderný a elegantný vzhľad,1
"Poskytuje dobrý výkon vo svojej cenovej kategórii, ideálny do bytu/spálne bez zbytočného ""dunenia",1
"Po updatnutí firmware je možné vypnúť hlasovú spätnú väzbu ak podržíte ""Voice"" na 5s a následne potvrdíte ""Play""",1
"Aplikácia, ktorá dokáže nahradiť ovládač",1
"Soundbar nemá subwoofer, čo znamená, že basy nie sú také hlboké ako pri systémoch s dedikovanými subwoofermi.",0
Chýba detailnejšie prispôsobenie zvuku napr. formou ekvalizéra. Je možné nastaviť len basy/výšky v rozmedzí -/+6,0
design,1
pomer vykon\cena,1
len 1m dlhy napajaci kabel,0
Rychla instalacia,1
Dobry zvuk,1
Vynikajúci zvuk za tú cenu,1
Perfektne dopĺňa TV od TCL,1
spočiatku mi chýbal displej ale dá sa rýchlo si zvyknúť na hlasové info a LED indikáciu,1
"podporované formáty, najmä Dolby Atmos",1
nemám výhrady,0
skvelý zvuk v danej cenovej kategórii,1
automaticky funguje s TV TCL (cez HDMI),1
veľmi dobré materiálne spracovanie,1
"hlasové notifikácie pri zapnutí alebo zmenách v nastaveniach, ktoré nie je možné vypnúť",0
chýbajúci Apple AirPlay,0
Dostatočný vykon,1
Kvalita zvuku,1
Basy tak akurát ale pre toho čo má rád dunenie neodporúčam .,1
Náznaky pre dolby Atmos niejake su,1
